# codepoint<TAB>base_syllable<TAB>tone(1..5)
14285	lang	2
14286	tuo	3
14287	han	2
14288	mang	3
14289	bo	2
14290	qun	1
14291	qi	2
14292	han	2
14294	long	4
14295	bin	1
14296	tiao	2
14297	ze	2
14298	qi	2
14299	zan	4
14300	mi	2
14301	pei	2
14302	zhan	4
14303	xiang	4
14304	gang	3
14306	qi	2
14308	lu	4
14310	yun	4
14311	e	4
14312	duan	1
14313	min	2
14314	wei	1
14315	quan	2
14316	sou	3
14317	min	2
14318	tu	1
14320	ming	3
14321	yao	3
14322	jue	2
14323	li	4
14324	kuai	4
14325	gang	3
14326	yuan	2
14327	da	5
14329	lao	2
14330	lou	2
14331	qian	4
14332	ao	2
14333	biao	3
14334	yong	1
14335	mang	3
14336	dao	3
14338	ao	2
14340	xi	2
14341	fu	2
14342	dan	1
14343	jiu	4
14344	run	4
14345	tong	2
14346	qu	1
14347	e	4
14348	qi	1
14349	ji	2
14350	ji	2
14351	hua	2
14352	jiao	4
14353	zui	4
14354	biao	3
14355	meng	2
14356	bai	4
14357	wei	3
14358	yi	3
14359	ao	4
14360	yu	3
14361	hao	2
14362	dui	4
14363	wo	4
14364	ni	4
14365	cuan	2
14367	li	2
14368	lu	2
14369	niao	3
14370	huai	2
14371	li	4
14373	lv	4
14374	feng	1
14375	mi	3
14376	yu	4
14378	ju	4
14381	zhan	3
14382	peng	1
14383	yi	3
14385	ji	4
14386	bi	3
14388	ren	4
14389	huang	1
14390	fan	2
14391	ge	2
14392	ku	4
14393	jie	4
14394	sha	1
14396	si	1
14397	tong	2
14398	yuan	1
14399	zi	1
14400	bi	4
14401	kua	3
14402	li	4
14403	huang	1
14404	xun	2
14405	nuo	3
14407	zhe	2
14408	wen	4
14409	xian	2
14410	qia	4
14411	ye	2
14412	mao	4
14415	shu	4
14417	qiao	1
14418	zhun	1
14419	kun	1
14420	wu	4
14421	ying	1
14422	chuang	2
14423	ti	2
14424	lian	2
14425	bi	1
14426	gou	1
14427	mang	2
14428	xie	4
14429	feng	4
14430	lou	2
14431	zao	1
14432	zheng	4
14433	chu	2
14434	man	4
14435	long	2
14437	yin	4
14438	pin	1
14439	zheng	4
14440	jian	1
14441	luan	2
14442	nie	2
14443	yi	4
14445	ji	4
14446	ji	2
14447	zhai	2
14448	yu	3
14449	jiu	3
14450	huan	2
14451	zhi	3
14452	la	1
14453	ling	2
14454	zhi	3
14455	ben	3
